iter	Passed	Remaining
1089	36982	13910
1090	37012	13875
1091	37041	13839
1092	37065	13802
1093	37094	13766
1094	37127	13732
1095	37178	13704
1096	37211	13670
1097	37246	13636
1098	37278	13602
1099	37311	13567
1100	37338	13531
1101	37361	13493
1102	37393	13458
1103	37418	13421
1104	37448	13386
1105	37471	13348
1106	37502	13313
1107	37535	13279
1108	37564	13243
1109	37597	13209
1110	37638	13178
1111	37676	13146
1112	37703	13109
1113	37738	13076
1114	37773	13042
1115	37808	13009
1116	37839	12974
1117	37876	12941
1118	37909	12907
1119	37942	12873
1120	37967	12836
1121	37992	12799
1122	38019	12763
1123	38050	12728
1124	38079	12693
1125	38110	12658
1126	38142	12623
1127	38189	12594
1128	38224	12560
1129	38254	12525
1130	38287	12491
1131	38321	12457
1132	38353	12423
1133	38386	12389
1134	38420	12355
1135	38453	12321
1136	38485	12286
1137	38514	12251
1138	38539	12214
1139	38576	12181
1140	38614	12149
1141	38650	12116
1142	38685	12082
1143	38713	12047
1144	38743	12012
1145	38769	11976
1146	38799	11940
1147	38832	11906
1148	38861	11871
1149	38891	11836
1150	38922	11801
1151	38953	11767
1152	38988	11733
1153	39020	11699
1154	39051	11664
1155	39083	11630
1156	39115	11596
1157	39144	11560
1158	39172	11525
1159	39216	11494
1160	39243	11458
1161	39273	11423
1162	39303	11388
1163	39331	11353
1164	39361	11318
1165	39392	11284
1166	39420	11248
1167	39449	11213
1168	39480	11178
1169	39511	11144
1170	39543	11110
1171	39579	11076
1172	39606	11041
1173	39639	11007
1174	39666	10971
1175	39710	10940
1176	39746	10907
1177	39785	10875
1178	39816	10840
1179	39845	10805
1180	39878	10771
1181	39911	10737
1182	39942	10703
1183	39974	10668
1184	40002	10633
1185	40036	10599
1186	40069	10565
1187	40095	10530
1188	40123	10494
1189	40150	10459
1190	40176	10423
1191	40225	10393
1192	40260	10360
1193	40293	10326
1194	40319	10290
1195	40348	10255
1196	40375	10220
1197	40399	10184
1198	40428	10149
1199	40454	10113
1200	40477	10077
1201	40506	10042
1202	40537	10008
1203	40572	9974
1204	40606	9941
1205	40642	9907
1206	40674	9873
1207	40715	9841
1208	40752	9808
1209	40789	9775
1210	40816	9740
1211	40855	9708
1212	40891	9675
1213	40925	9641
1214	40971	9610
1215	41002	9576
1216	41031	9541
1217	41065	9507
1218	41102	9474
1219	41126	9438
1220	41154	9403
1221	41182	9368
1222	41212	9334
1223	41256	9303
1224	41292	9269
1225	41325	9235
1226	41355	9201
1227	41392	9168
1228	41420	9133
1229	41450	9098
1230	41484	9065
1231	41509	9029
1232	41541	8995
1233	41573	8961
1234	41597	8925
1235	41630	8892
1236	41666	8858
1237	41708	8826
1238	41755	8795
1239	41807	8766
1240	41855	8735
1241	41894	8702
1242	41932	8669
1243	42004	8643
1244	42066	8616
1245	42127	8587
1246	42163	8554
1247	42215	8524
1248	42268	8494
1249	42301	8460
